,month,year,City,country_id,Country,Latitude,Longitude,AverageTemperatureCel,AverageTemperatureUncertaintyCel
130,8,1864,Auckland,NEW,New Zealand,36.17S,175.03E,10.396999999999998,1.9039999999999995
131,9,1864,Auckland,NEW,New Zealand,36.17S,175.03E,13.280000000000001,1.6930000000000018
132,10,1864,Auckland,NEW,New Zealand,36.17S,175.03E,14.631,1.1389999999999982
133,11,1864,Auckland,NEW,New Zealand,36.17S,175.03E,16.572,1.8619999999999988
134,12,1864,Auckland,NEW,New Zealand,36.17S,175.03E,19.086,2.054999999999999
135,1,1865,Auckland,NEW,New Zealand,36.17S,175.03E,19.352,1.272
136,2,1865,Auckland,NEW,New Zealand,36.17S,175.03E,19.773999999999997,1.3310000000000006
137,3,1865,Auckland,NEW,New Zealand,36.17S,175.03E,18.542000000000005,0.8500000000000006
138,4,1865,Auckland,NEW,New Zealand,36.17S,175.03E,16.477,1.1909999999999994
139,5,1865,Auckland,NEW,New Zealand,36.17S,175.03E,13.814999999999998,1.2040000000000006
140,6,1865,Auckland,NEW,New Zealand,36.17S,175.03E,12.139000000000001,1.4099999999999981
141,7,1865,Auckland,NEW,New Zealand,36.17S,175.03E,11.326999999999998,1.1260000000000008
142,8,1865,Auckland,NEW,New Zealand,36.17S,175.03E,11.18,0.9029999999999995
143,9,1865,Auckland,NEW,New Zealand,36.17S,175.03E,12.308000000000002,0.7500000000000008
144,10,1865,Auckland,NEW,New Zealand,36.17S,175.03E,12.791,0.9369999999999992
145,11,1865,Auckland,NEW,New Zealand,36.17S,175.03E,15.256,0.9190000000000017
146,12,1865,Auckland,NEW,New Zealand,36.17S,175.03E,16.602,1.419000000000001
147,1,1866,Auckland,NEW,New Zealand,36.17S,175.03E,19.087000000000003,1.5140000000000005
148,2,1866,Auckland,NEW,New Zealand,36.17S,175.03E,20.470000000000002,2.1499999999999986
149,3,1866,Auckland,NEW,New Zealand,36.17S,175.03E,18.981999999999996,2.8110000000000017
150,4,1866,Auckland,NEW,New Zealand,36.17S,175.03E,16.433,1.0959999999999996
151,5,1866,Auckland,NEW,New Zealand,36.17S,175.03E,14.34,2.0320000000000014
152,6,1866,Auckland,NEW,New Zealand,36.17S,175.03E,12.056999999999997,0.7419999999999997
153,7,1866,Auckland,NEW,New Zealand,36.17S,175.03E,12.537999999999998,1.9959999999999982
154,8,1866,Auckland,NEW,New Zealand,36.17S,175.03E,12.603000000000002,1.9290000000000005
155,9,1866,Auckland,NEW,New Zealand,36.17S,175.03E,13.763000000000002,1.5859999999999985
156,10,1866,Auckland,NEW,New Zealand,36.17S,175.03E,15.183,1.9860000000000018
157,11,1866,Auckland,NEW,New Zealand,36.17S,175.03E,17.394,2.544
158,12,1866,Auckland,NEW,New Zealand,36.17S,175.03E,18.995,1.0920000000000012
159,1,1867,Auckland,NEW,New Zealand,36.17S,175.03E,20.283,1.029000000000002
160,2,1867,Auckland,NEW,New Zealand,36.17S,175.03E,19.440000000000005,0.9580000000000015
161,3,1867,Auckland,NEW,New Zealand,36.17S,175.03E,18.060999999999996,1.2210000000000005
162,4,1867,Auckland,NEW,New Zealand,36.17S,175.03E,17.111,1.2049999999999983
163,5,1867,Auckland,NEW,New Zealand,36.17S,175.03E,14.163000000000002,0.6269999999999993
164,6,1867,Auckland,NEW,New Zealand,36.17S,175.03E,11.636999999999997,0.6639999999999999
165,7,1867,Auckland,NEW,New Zealand,36.17S,175.03E,12.606000000000002,0.9589999999999992
166,8,1867,Auckland,NEW,New Zealand,36.17S,175.03E,11.573,1.0870000000000009
167,9,1867,Auckland,NEW,New Zealand,36.17S,175.03E,13.099000000000002,0.7419999999999997
168,10,1867,Auckland,NEW,New Zealand,36.17S,175.03E,14.005000000000003,0.6280000000000009
169,11,1867,Auckland,NEW,New Zealand,36.17S,175.03E,14.073,2.766
170,12,1867,Auckland,NEW,New Zealand,36.17S,175.03E,17.244999999999997,1.5989999999999998
171,1,1868,Auckland,NEW,New Zealand,36.17S,175.03E,17.616,0.8480000000000013
172,2,1868,Auckland,NEW,New Zealand,36.17S,175.03E,17.207,1.9399999999999986
173,3,1868,Auckland,NEW,New Zealand,36.17S,175.03E,17.397,1.3129999999999993
174,4,1868,Auckland,NEW,New Zealand,36.17S,175.03E,15.709000000000003,2.2189999999999994
175,5,1868,Auckland,NEW,New Zealand,36.17S,175.03E,13.833,1.377
176,6,1868,Auckland,NEW,New Zealand,36.17S,175.03E,12.225000000000001,0.989999999999998
177,7,1868,Auckland,NEW,New Zealand,36.17S,175.03E,11.998999999999999,1.1709999999999985
178,8,1868,Auckland,NEW,New Zealand,36.17S,175.03E,11.139999999999999,0.8330000000000007
179,9,1868,Auckland,NEW,New Zealand,36.17S,175.03E,12.056000000000001,0.7509999999999984
180,10,1868,Auckland,NEW,New Zealand,36.17S,175.03E,12.951,0.8700000000000014
181,11,1868,Auckland,NEW,New Zealand,36.17S,175.03E,14.728,1.1720000000000002
182,12,1868,Auckland,NEW,New Zealand,36.17S,175.03E,15.992999999999999,1.206
183,1,1869,Auckland,NEW,New Zealand,36.17S,175.03E,18.208000000000002,2.403000000000001
184,2,1869,Auckland,NEW,New Zealand,36.17S,175.03E,18.392999999999997,2.425999999999999
185,3,1869,Auckland,NEW,New Zealand,36.17S,175.03E,17.369000000000003,1.0190000000000015
186,4,1869,Auckland,NEW,New Zealand,36.17S,175.03E,16.177999999999997,1.5029999999999986
187,5,1869,Auckland,NEW,New Zealand,36.17S,175.03E,13.699999999999998,0.8709999999999991
188,6,1869,Auckland,NEW,New Zealand,36.17S,175.03E,12.683,1.0750000000000013
189,7,1869,Auckland,NEW,New Zealand,36.17S,175.03E,10.805,0.7189999999999981
190,8,1869,Auckland,NEW,New Zealand,36.17S,175.03E,11.617999999999999,0.7629999999999981
191,9,1869,Auckland,NEW,New Zealand,36.17S,175.03E,12.142999999999999,0.6210000000000014
192,10,1869,Auckland,NEW,New Zealand,36.17S,175.03E,13.326999999999998,0.9890000000000003
193,11,1869,Auckland,NEW,New Zealand,36.17S,175.03E,15.240999999999998,0.581
194,12,1869,Auckland,NEW,New Zealand,36.17S,175.03E,17.217,1.6750000000000003
195,1,1870,Auckland,NEW,New Zealand,36.17S,175.03E,18.539,0.9670000000000003
196,2,1870,Auckland,NEW,New Zealand,36.17S,175.03E,18.843,1.3299999999999992
197,3,1870,Auckland,NEW,New Zealand,36.17S,175.03E,17.990000000000002,1.0820000000000007
198,4,1870,Auckland,NEW,New Zealand,36.17S,175.03E,15.572000000000003,1.136999999999999
199,5,1870,Auckland,NEW,New Zealand,36.17S,175.03E,14.332999999999998,1.0999999999999983
200,6,1870,Auckland,NEW,New Zealand,36.17S,175.03E,13.443000000000001,1.102999999999999
201,7,1870,Auckland,NEW,New Zealand,36.17S,175.03E,11.837000000000002,0.8020000000000019
202,8,1870,Auckland,NEW,New Zealand,36.17S,175.03E,11.613,0.6149999999999997
203,9,1870,Auckland,NEW,New Zealand,36.17S,175.03E,12.286999999999999,0.9090000000000013
204,10,1870,Auckland,NEW,New Zealand,36.17S,175.03E,13.928,0.9600000000000009
205,11,1870,Auckland,NEW,New Zealand,36.17S,175.03E,16.194000000000003,1.551000000000001
206,12,1870,Auckland,NEW,New Zealand,36.17S,175.03E,15.091999999999997,1.319000000000001
207,1,1871,Auckland,NEW,New Zealand,36.17S,175.03E,17.174999999999997,1.2879999999999983
208,2,1871,Auckland,NEW,New Zealand,36.17S,175.03E,17.781999999999996,1.7580000000000002
209,3,1871,Auckland,NEW,New Zealand,36.17S,175.03E,17.41,1.0129999999999997
210,4,1871,Auckland,NEW,New Zealand,36.17S,175.03E,15.366999999999999,0.9119999999999983
211,5,1871,Auckland,NEW,New Zealand,36.17S,175.03E,14.562,0.6080000000000001
212,6,1871,Auckland,NEW,New Zealand,36.17S,175.03E,12.650000000000002,0.5359999999999983
213,7,1871,Auckland,NEW,New Zealand,36.17S,175.03E,12.318000000000003,0.5450000000000009
214,8,1871,Auckland,NEW,New Zealand,36.17S,175.03E,11.419999999999998,0.743999999999999
215,9,1871,Auckland,NEW,New Zealand,36.17S,175.03E,11.711,0.6189999999999982
216,11,1871,Auckland,NEW,New Zealand,36.17S,175.03E,14.764000000000001,0.9400000000000001
217,12,1871,Auckland,NEW,New Zealand,36.17S,175.03E,16.331000000000003,0.9639999999999994
218,1,1872,Auckland,NEW,New Zealand,36.17S,175.03E,19.161,2.6030000000000006
219,2,1872,Auckland,NEW,New Zealand,36.17S,175.03E,20.012999999999995,1.488000000000002
220,3,1872,Auckland,NEW,New Zealand,36.17S,175.03E,17.868999999999996,1.0630000000000015
221,4,1872,Auckland,NEW,New Zealand,36.17S,175.03E,16.658,1.7050000000000014
222,5,1872,Auckland,NEW,New Zealand,36.17S,175.03E,15.150999999999998,0.9090000000000013
223,6,1872,Auckland,NEW,New Zealand,36.17S,175.03E,12.879999999999999,1.0600000000000007
224,7,1872,Auckland,NEW,New Zealand,36.17S,175.03E,12.225000000000001,0.9299999999999997
225,8,1872,Auckland,NEW,New Zealand,36.17S,175.03E,11.096,1.084
226,9,1872,Auckland,NEW,New Zealand,36.17S,175.03E,12.625,0.669
227,10,1872,Auckland,NEW,New Zealand,36.17S,175.03E,12.96,0.8280000000000006
228,11,1872,Auckland,NEW,New Zealand,36.17S,175.03E,15.625,0.9909999999999997
229,12,1872,Auckland,NEW,New Zealand,36.17S,175.03E,18.678000000000004,1.8769999999999993
230,1,1873,Auckland,NEW,New Zealand,36.17S,175.03E,17.892000000000003,1.1870000000000007
231,2,1873,Auckland,NEW,New Zealand,36.17S,175.03E,18.162999999999997,0.8260000000000013
232,3,1873,Auckland,NEW,New Zealand,36.17S,175.03E,18.288999999999998,1.004000000000001
233,4,1873,Auckland,NEW,New Zealand,36.17S,175.03E,15.645000000000001,1.731
234,5,1873,Auckland,NEW,New Zealand,36.17S,175.03E,14.643999999999998,0.8180000000000002
235,6,1873,Auckland,NEW,New Zealand,36.17S,175.03E,13.043000000000001,0.6570000000000005
236,7,1873,Auckland,NEW,New Zealand,36.17S,175.03E,11.461000000000002,0.6770000000000012
237,8,1873,Auckland,NEW,New Zealand,36.17S,175.03E,11.866999999999999,0.44500000000000106
238,9,1873,Auckland,NEW,New Zealand,36.17S,175.03E,12.336,1.0049999999999986
239,10,1873,Auckland,NEW,New Zealand,36.17S,175.03E,13.547,0.8410000000000019
240,11,1873,Auckland,NEW,New Zealand,36.17S,175.03E,15.203999999999999,0.6169999999999989
241,12,1873,Auckland,NEW,New Zealand,36.17S,175.03E,17.726,0.8280000000000006
242,1,1874,Auckland,NEW,New Zealand,36.17S,175.03E,19.069000000000003,1.5719999999999996
243,2,1874,Auckland,NEW,New Zealand,36.17S,175.03E,19.060999999999996,1.2630000000000012
244,3,1874,Auckland,NEW,New Zealand,36.17S,175.03E,18.513999999999996,1.4129999999999991
245,4,1874,Auckland,NEW,New Zealand,36.17S,175.03E,16.134,1.0020000000000016
246,5,1874,Auckland,NEW,New Zealand,36.17S,175.03E,14.339000000000002,1.0630000000000015
247,6,1874,Auckland,NEW,New Zealand,36.17S,175.03E,12.310999999999998,1.3020000000000012
248,7,1874,Auckland,NEW,New Zealand,36.17S,175.03E,11.217000000000002,0.7489999999999992
249,8,1874,Auckland,NEW,New Zealand,36.17S,175.03E,12.110999999999999,0.5700000000000018
250,9,1874,Auckland,NEW,New Zealand,36.17S,175.03E,12.738000000000003,0.4709999999999997
251,10,1874,Auckland,NEW,New Zealand,36.17S,175.03E,12.758,0.5679999999999986
252,11,1874,Auckland,NEW,New Zealand,36.17S,175.03E,15.013000000000002,0.6870000000000016
